Date,Open,High,Low,Close,Adj Close,Volume
2021-10-29,25.000999,25.709000,25.000000,25.566999,25.525362,292503000
2021-11-01,25.649000,25.893999,25.226999,25.827000,25.784943,265740000
2021-11-02,25.822001,26.677999,25.799999,26.400999,26.358009,294112000
2021-11-03,26.670000,26.784000,26.235001,26.598000,26.554686,239910000
2021-11-04,27.229000,31.365000,27.118000,29.801001,29.752474,1153631000
2021-11-05,30.187000,31.400000,29.410000,29.752001,29.703554,851260000
2021-11-08,30.149000,31.100000,29.907000,30.804001,30.753839,503101000
2021-11-09,32.282001,32.310001,29.964001,30.657000,30.607079,646746000
2021-11-10,29.356001,30.850000,28.778000,29.459000,29.411030,636206000
2021-11-11,30.468000,30.590000,29.777000,30.389999,30.340509,332172000
2021-11-12,30.010000,30.680000,29.629999,30.389999,30.340509,413054000
2021-11-15,30.552000,30.643999,29.247000,30.025000,29.976109,384909000
2021-11-16,29.759001,30.389999,29.705999,30.202999,30.153818,264484000
2021-11-17,30.417999,30.509001,28.799999,29.261000,29.213352,428508000
2021-11-18,32.367001,32.759998,31.320999,31.674999,31.623419,781711000
2021-11-19,32.243000,33.088001,31.905001,32.985001,32.931290,533867000
2021-11-22,33.516998,34.646999,31.900000,31.955999,31.903961,754335000
2021-11-23,31.535000,32.360001,30.879999,31.746000,31.694305,532163000
2021-11-24,31.461000,32.855000,30.927999,32.674000,32.620792,435162000
2021-11-26,32.599998,32.709999,31.350000,31.503000,31.451698,283069000
2021-11-29,32.366001,33.411999,32.035999,33.375999,33.321651,454964000
2021-11-30,33.168999,33.353001,31.864000,32.675999,32.622791,622066000
2021-12-01,33.219002,33.289001,31.379999,31.434999,31.387653,484368000
2021-12-02,31.214001,32.478001,31.025000,32.125999,32.077610,472890000
2021-12-03,32.000000,32.129002,30.129999,30.693001,30.646774,544325000
2021-12-06,29.879999,30.240999,28.038000,30.037001,29.991758,658938000
2021-12-07,30.957001,32.449001,30.650999,32.426998,32.378159,593053000
2021-12-08,31.999001,32.290001,31.421000,31.826000,31.778065,475551000
2021-12-09,31.733999,32.205002,30.427999,30.490000,30.444077,488507000
2021-12-10,31.150000,31.305000,29.861000,30.198000,30.152517,488825000
2021-12-13,30.249001,30.294001,28.115999,28.160999,28.118586,598344000
2021-12-14,27.698999,28.677999,27.250000,28.337000,28.294317,667035000
2021-12-15,28.400000,30.500000,27.837999,30.459000,30.413126,698297000
2021-12-16,31.152000,31.160000,28.093000,28.386999,28.344242,707366000
2021-12-17,27.985001,28.922001,27.760000,27.801001,27.759127,713758000
2021-12-20,27.305000,28.143999,27.145000,27.719000,27.677250,461847000
2021-12-21,28.374001,29.120001,27.400999,29.075001,29.031206,524385000
2021-12-22,28.891001,29.555000,28.448999,29.400000,29.355719,395184000
2021-12-23,29.754999,30.059000,29.431000,29.639999,29.595358,343022000
2021-12-27,29.660000,31.087000,29.639999,30.945000,30.898390,403686000
2021-12-28,31.312000,31.330000,30.011999,30.322001,30.276331,420591000
2021-12-29,30.273001,30.548000,29.365999,30.000999,29.955811,343139000
2021-12-30,29.827000,30.457001,29.540001,29.586000,29.541441,308864000
